"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D08","vol_neg_uni",-0.153727989821244,-0.194048377835693,-0.113407601806795
"D08","log(me)",-0.260915794689759,-0.293079089274887,-0.22875250010463
"D08","log(bm)",0.0204337347743197,-0.0213606258396251,0.0622280953882645
"D08","log(turn)",0.272420819142663,0.230863773943729,0.313977864341598
"D08","sue",-0.0131368553332561,-0.021555958235761,-0.00471775243075125
"D08","nasdaq",-0.0218451711134588,-0.0883156334273661,0.0446252912004486
"D09","vol_pos_uni",0.109934652426914,0.0406530387987879,0.17921626605504
"D09","vol_neg_uni",-0.152047279234741,-0.191886090890032,-0.112208467579449
"D09","log(me)",-0.261043546080962,-0.292740923942348,-0.229346168219576
"D09","log(bm)",0.0209551283431008,-0.0207348274445292,0.0626450841307307
"D09","log(turn)",0.272099746038946,0.230544329410347,0.313655162667545
"D09","sue",-0.0127084567280126,-0.0210009839892405,-0.00441592946678468
"D09","nasdaq",-0.0222936364592694,-0.0889668158087458,0.044379542890207
"D10","vol_pos_uni",0.109351654783534,0.0387003515672309,0.180002957999838
"D10","vol_neg_uni",-0.153328140389233,-0.194045011579366,-0.112611269199101
"D10","log(me)",-0.260946967857747,-0.292262411991805,-0.229631523723688
"D10","log(bm)",0.0213677529119881,-0.0213317734933351,0.0640672793173112
"D10","log(turn)",0.271579126667964,0.229525049275644,0.313633204060285
"D10","sue",-0.0125787905747227,-0.0208093457580874,-0.00434823539135808
"D10","nasdaq",-0.0236508815823693,-0.0910848379229064,0.0437830747581678
"D11","vol_pos_uni",0.106987442470534,0.0355623794297842,0.178412505511284
"D11","vol_neg_uni",-0.15339267375398,-0.194364264431461,-0.112421083076498
"D11","log(me)",-0.261045398670317,-0.291686262566091,-0.230404534774544
"D11","log(bm)",0.0202897039626208,-0.0222095442208592,0.0627889521461008
"D11","log(turn)",0.271180860330491,0.230321441737467,0.312040278923516
"D11","sue",-0.0125475249933935,-0.0206226874700529,-0.00447236251673414
"D11","nasdaq",-0.0251079425782748,-0.0915487178218797,0.0413328326653301
"D12","vol_pos_uni",0.105552110920716,0.0368309799998292,0.174273241841603
"D12","vol_neg_uni",-0.154134792257975,-0.196607067587766,-0.111662516928183
"D12","log(me)",-0.26246937914296,-0.293069508491905,-0.231869249794016
"D12","log(bm)",0.0184192084552205,-0.0248503147207576,0.0616887316311987
"D12","log(turn)",0.273327383810188,0.232484403641755,0.314170363978621
"D12","sue",-0.0129692534765792,-0.021237768697661,-0.00470073825549741
"D12","nasdaq",-0.0262696966311115,-0.0922298937637001,0.0396905005014772
"D13","vol_pos_uni",0.104834468887879,0.0353526964891987,0.17431624128656
"D13","vol_neg_uni",-0.153508097314112,-0.196679671499312,-0.110336523128912
"D13","log(me)",-0.261402600995707,-0.291642709793123,-0.23116249219829
"D13","log(bm)",0.0180130843901236,-0.0253725319975965,0.0613987007778438
"D13","log(turn)",0.271526528089883,0.230985669763445,0.31206738641632
"D13","sue",-0.0126537351649414,-0.020934981171277,-0.00437248915860573
"D13","nasdaq",-0.0247194416069204,-0.0913161246988339,0.0418772414849931
"D14","vol_pos_uni",0.105335235977682,0.0367792975857939,0.173891174369571
"D14","vol_neg_uni",-0.152982008938454,-0.196483885991414,-0.109480131885494
"D14","log(me)",-0.261653073311196,-0.291510238213228,-0.231795908409165
"D14","log(bm)",0.0180375706803605,-0.0253966790888338,0.0614718204495548
"D14","log(turn)",0.270165209267327,0.230020278311156,0.310310140223498
"D14","sue",-0.0126970419396468,-0.0209966493214036,-0.00439743455789011
"D14","nasdaq",-0.0253077307384502,-0.0928288101583996,0.0422133486814992
"D15","vol_pos_uni",0.105781967250696,0.0366222906698405,0.174941643831551
"D15","vol_neg_uni",-0.150954017488473,-0.194774136970063,-0.107133898006882
"D15","log(me)",-0.261799023881623,-0.291438079299205,-0.232159968464041
"D15","log(bm)",0.0180692888566411,-0.0246456945887941,0.0607842723020763
"D15","log(turn)",0.268607557321039,0.22915351643453,0.308061598207548
"D15","sue",-0.0124086441935348,-0.0205067527230824,-0.0043105356639872
"D15","nasdaq",-0.0278491118974519,-0.0947547925429327,0.0390565687480289
"D16","vol_pos_uni",0.106768220317648,0.0373529546436353,0.176183485991661
"D16","vol_neg_uni",-0.150635134438425,-0.194193775370623,-0.107076493506228
"D16","log(me)",-0.262193436816972,-0.291332704446429,-0.233054169187515
"D16","log(bm)",0.0168255403417568,-0.0260385972003938,0.0596896778839073
"D16","log(turn)",0.266179164074857,0.227700723579487,0.304657604570228
"D16","sue",-0.0123147264324287,-0.0203344790537928,-0.00429497381106447
"D16","nasdaq",-0.0288443672378212,-0.0962437277456782,0.0385549932700357
"D17","vol_pos_uni",0.10701026353669,0.0388783820561084,0.175142145017273
"D17","vol_neg_uni",-0.151081171597493,-0.194521244397507,-0.107641098797478
"D17","log(me)",-0.26168584229622,-0.290488661587211,-0.232883023005229
"D17","log(bm)",0.0174899865397551,-0.0253055557514738,0.0602855288309841
"D17","log(turn)",0.265796549411589,0.227346592465692,0.304246506357486
"D17","sue",-0.0126685025530765,-0.0207661203130341,-0.00457088479311893
"D17","nasdaq",-0.0275314802271275,-0.0943526351776932,0.0392896747234381
