"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D17","log(turn)",0.064364800420179,0.0460904032308283,0.0826391976095298
"D17","sue",-0.00136844802518644,-0.00559617516201389,0.00285927911164101
"D17","nasdaq",-0.0185869029087277,-0.0333039790369143,-0.00386982678054119
"D18","vol_pos_uni",-0.000223817225994542,-0.0181898980875141,0.017742263635525
"D18","vol_neg_uni",0.00108673130897797,-0.0153104345716432,0.0174838971895991
"D18","log(me)",0.0202514385122435,0.00588611527453126,0.0346167617499558
"D18","log(bm)",0.00570335852200161,-0.0148860788114503,0.0262927958554535
"D18","log(turn)",0.0637351790306688,0.0454800026504803,0.0819903554108572
"D18","sue",-0.000674336492671415,-0.00485858732855108,0.00350991434320825
"D18","nasdaq",-0.0183869395250722,-0.0330161231532677,-0.00375775589687661
"D19","vol_pos_uni",0.000240610135706086,-0.0175558119343195,0.0180370322057317
"D19","vol_neg_uni",0.00101275924868675,-0.0149835166938331,0.0170090351912066
"D19","log(me)",0.0207223558569574,0.00646823057453104,0.0349764811393837
"D19","log(bm)",0.00598363877230473,-0.0141712785275372,0.0261385560721467
"D19","log(turn)",0.0632766863835829,0.0451259220124197,0.0814274507547461
"D19","sue",-0.000482131430489297,-0.00462184989592573,0.00365758703494714
"D19","nasdaq",-0.0182882939217658,-0.0328467422051165,-0.00372984563841506
"D20","vol_pos_uni",-0.000570455890152282,-0.0177458654501374,0.0166049536698328
"D20","vol_neg_uni",0.000647255341895357,-0.0145718721862847,0.0158663828700755
"D20","log(me)",0.0212215610934468,0.00671470536620997,0.0357284168206836
"D20","log(bm)",0.00669765482556517,-0.0131367873477458,0.0265320969988761
"D20","log(turn)",0.0627259963409222,0.0440783373816249,0.0813736553002195
"D20","sue",-0.000610450227895861,-0.00478964580794351,0.00356874535215179
"D20","nasdaq",-0.0168343633640857,-0.0311963105112056,-0.0024724162169658
"D21","vol_pos_uni",7.51153039615363e-06,-0.000207658237740581,0.000222681298532888
"D21","vol_neg_uni",-7.65890926192137e-05,-0.000253416868836653,0.000100238683598226
"D21","log(me)",0.000107504454550864,6.34009243816411e-06,0.000208668816663565
"D21","log(bm)",0.00014995218533934,-8.75720926246292e-05,0.000387476463303309
"D21","log(turn)",0.000668195541125379,0.000468863082717966,0.000867527999532793
"D21","sue",-2.13125805897977e-05,-6.32166675889912e-05,2.05915064093958e-05
"D21","nasdaq",-0.000295265747752022,-0.000446687733933247,-0.000143843761570798
