quarter,vol_pos_uni,vol_neg_uni,me,bm,turn,sue,rvar_capm,nasdaq,const,numbers
2010-06,0.003700972820282044,-0.020654080165381648,-0.0004484753551402444,0.007297136490893724,-0.007213150050680104,0.0007605520889799036,-0.005075885607238036,0.025108795683799544,0.0292565086849288,1088
2010-09,0.019450822885305415,-0.016360545482472726,-0.0028732669047711423,0.00018769705398928973,-0.011007981807791493,0.0003126867273245122,-0.011191572493374609,-0.0004690076193691272,-0.07988570026060422,1059
2010-12,0.04796319426310161,-0.0006512797091640355,0.009196168311168729,0.0008777103825242973,0.012739633266475835,0.001094580554845113,0.012513472178301135,0.011714007082166317,-0.20026891633655342,1105
2011-03,0.033907620315946976,-0.015170233201493391,0.01151424140429475,0.006507421090001831,-0.016333387612969538,0.001996267691916592,-0.007586289789127683,0.055422867186261576,-0.28141023838554335,1023
2011-06,0.018617241937842463,-0.02402274551959569,0.002014423071130058,0.00010343343393711627,0.015312869347501368,0.0008186462461318819,-0.014814132560539013,0.055629023971099784,-0.2229104696536211,1066
2011-09,0.014551363042388354,-0.03948373599466677,0.007556084474223724,0.0028822614516021885,0.012141258472628277,-0.008108995775330353,-0.03329191397121043,0.061325214212745956,-0.3524796097761247,1108
2011-12,0.020964438562559806,-0.014760550912260369,-0.002672509531600798,-0.00564106606388407,-0.03834420980368272,-0.002906138347719178,0.0013195470760896753,0.0272928240149354,-0.03484182223898577,1117
2012-03,0.011642817477526003,-0.02280510767163008,-0.007060790190562554,0.0067129376266447886,0.0014115572399663184,0.005462972018664958,-0.017917908719145906,0.012750166890931586,-0.02498741238171953,1153
2012-06,0.026572203385308347,-0.03113288402816273,-0.00730076557533794,0.009189780735821575,-0.0118723913390541,0.0007359371952465857,-0.017430964015803553,0.01962893520218137,0.015433947233667297,1142
2012-09,0.01752094993801169,-0.03209523660098625,0.0038998260962478065,-0.003809823806025226,-0.012119863116788702,0.0006195676409339146,-0.012888204743515916,0.03240821057290231,-0.22857534769874813,1189
2012-12,0.016586676452256602,-0.0243716920533232,-0.002826684091906579,-0.011058438563341889,-0.018335000341883068,-0.002604645128964572,0.00942603018252558,0.0007592956416299004,-0.005736006704431307,1256
2013-03,0.015843653903814554,-0.02357089873126675,-0.0006420663551890346,0.005458820198366748,-0.01819500785671463,0.0008776191912770481,-0.006668759205218384,0.0383611790881833,-0.0594207071648207,1356
2013-06,0.029473032139871888,-0.019335825048945758,-0.006390365447778278,0.029736132605450667,-0.04627093422516634,0.0011767368373312283,-0.012897965335787171,0.02979651984160172,0.13141638382731846,1454
2013-09,0.020951246879664993,-0.02051251116780148,-0.0041106497021935785,0.008515742524815803,-0.00456346320484685,0.00292693550032479,-0.008874952111611286,0.04094018297147886,-0.041262497777215155,1475
2013-12,0.006127014737470983,-0.03680265433051602,0.00211404481171341,0.007619214822968974,-0.03262612356645129,-0.002003821781095271,0.016032450317670928,0.05688248177415132,0.15127406690587958,1495
2014-03,0.02787959564598099,-0.01890585690871226,0.0026944422368466083,0.009815027275253258,-0.030377093659116405,-0.00328628569222711,0.014467573380268876,0.027313666542509975,0.041959164216304,1558
2014-06,0.020262129344947578,-0.03632872633386895,-0.020727036894219314,-0.030268907475623393,-0.026970340597519207,0.00040785651529788884,-0.029255083623106994,0.02796934161568316,-0.1910601615773172,1614
2014-09,0.020039831969140456,-0.029114834656797636,-0.004600451933524525,0.0007442413483533684,-0.037384271753034784,0.0015314720874459655,0.0032936605123030506,0.015099788790758817,0.07693333118517297,1664
2014-12,0.03004752032298044,-0.029597082025370366,-0.006775815598188188,0.0009845515714536138,-0.01749095773225512,-0.010270705027367353,-0.01634407774487266,0.03252978924989029,-0.11643918365292641,1654
2015-03,0.02265726616861297,-0.03307130076541053,0.0055716083217888564,-0.00016559996211596697,-0.03648909425907254,0.001487261285502097,0.010337647022726751,6.454605420768604e-05,-0.027467535454833394,1673
2015-06,0.03771438725108274,-0.022695636488772666,-0.008466003782224944,0.02052658538287163,-0.025175907386694413,0.0007854393151506025,-0.014938546966822733,0.011818884472879685,0.08221164171594661,1684
2015-09,0.03528380159642679,-0.03370005513730939,-0.0036308497829399475,0.0037692202392038696,-0.008007870238133007,-0.0016966877379623044,-0.02253504846717419,-0.010249397489877774,-0.15431506530536127,1707
2015-12,0.008706685231534669,-0.04602948469557671,-0.007021735019251516,0.01740674906229429,-0.017217663369259333,0.00035285599512371396,-0.013981638288018551,0.02715048369663031,0.17934999558823916,1704
2016-03,0.012169955471130029,-0.03719923398040266,-0.00983962033116015,0.004359082247653063,-0.04850089765873159,0.0007345613718553912,-0.019112841213760317,0.011993865942974906,0.07531333770013912,1761
