"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D13","log(bm)",0.0304778569514741,-0.0138160402704116,0.0747717541733599
"D13","log(turn)",0.111389592181889,0.0725382650601568,0.150240919303621
"D13","log(rvar_capm)",0.517286581946145,0.468978815156194,0.565594348736095
"D13","sue",-0.00803075135621503,-0.0175116538776236,0.00145015116519351
"D13","nasdaq",-0.0635589715215538,-0.104045757817983,-0.0230721852251251
"D14","vol_pos_uni",0.0745968432317037,-0.00488878298062689,0.154082469444034
"D14","vol_neg_uni",-0.0770859127227193,-0.114912526138219,-0.03925929930722
"D14","log(me)",-0.0802419501171363,-0.111985037663036,-0.0484988625712362
"D14","log(bm)",0.0308822353411323,-0.012637393847745,0.0744018645300097
"D14","log(turn)",0.110038823802468,0.0712839922591627,0.148793655345773
"D14","log(rvar_capm)",0.514842360517421,0.467162438751038,0.562522282283803
"D14","sue",-0.00811238081114935,-0.0177318499961747,0.001507088373876
"D14","nasdaq",-0.0632158502814496,-0.103574257479277,-0.0228574430836226
"D15","vol_pos_uni",0.07697299321777,-0.00230006948696103,0.156246055922501
"D15","vol_neg_uni",-0.075049471386389,-0.114045729059066,-0.036053213713712
"D15","log(me)",-0.081150622108491,-0.112348997641423,-0.0499522465755592
"D15","log(bm)",0.0309889435950101,-0.01215764865763,0.0741355358476503
"D15","log(turn)",0.11063356106189,0.0722969098284596,0.148970212295321
"D15","log(rvar_capm)",0.511108596067519,0.463587014196169,0.558630177938869
"D15","sue",-0.00813786939501301,-0.017739426064331,0.001463687274305
"D15","nasdaq",-0.0660928820801761,-0.105660773317176,-0.0265249908431765
"D16","vol_pos_uni",0.078976107821936,-0.00118982323782453,0.159142038881697
"D16","vol_neg_uni",-0.0759127064566116,-0.115103971312925,-0.0367214416002984
"D16","log(me)",-0.0812126882849998,-0.111773854175627,-0.0506515223943722
"D16","log(bm)",0.0295724538627157,-0.0134204306065448,0.0725653383319762
"D16","log(turn)",0.108533721755187,0.0701840736532895,0.146883369857084
"D16","log(rvar_capm)",0.511026611120592,0.463546781546943,0.558506440694242
"D16","sue",-0.00821282755326775,-0.0177823332302242,0.00135667812368868
"D16","nasdaq",-0.0682970750250563,-0.107954382778224,-0.0286397672718886
"D17","vol_pos_uni",0.0795856068642811,0.00090099583987556,0.158270217888687
"D17","vol_neg_uni",-0.0761761094359681,-0.115463872618279,-0.0368883462536576
"D17","log(me)",-0.0816430588331688,-0.111562455857693,-0.0517236618086442
"D17","log(bm)",0.0298387796583488,-0.0123595095562144,0.072037068872912
"D17","log(turn)",0.109116645071608,0.0712531530219835,0.146980137121233
"D17","log(rvar_capm)",0.508442266436213,0.461602983601477,0.55528154927095
"D17","sue",-0.00844179874113278,-0.0179036359440329,0.00102003846176735
"D17","nasdaq",-0.0671333806610058,-0.106017235297939,-0.0282495260240722
"D18","vol_pos_uni",0.0814966438244737,0.00337252607776443,0.159620761571183
"D18","vol_neg_uni",-0.0776387756510669,-0.116338917897341,-0.0389386334047927
"D18","log(me)",-0.0812972954778608,-0.110695189749152,-0.0518994012065695
"D18","log(bm)",0.0302516656490211,-0.0119656606305124,0.0724689919285547
"D18","log(turn)",0.106679250877558,0.0703181685101955,0.143040333244921
"D18","log(rvar_capm)",0.50932507911677,0.462262822042342,0.556387336191199
"D18","sue",-0.00806163855125967,-0.017711306052891,0.00158802895037163
"D18","nasdaq",-0.0670997829992072,-0.106131618375497,-0.0280679476229172
"D19","vol_pos_uni",0.0802791309464459,0.00420283651096072,0.156355425381931
"D19","vol_neg_uni",-0.0774970403104017,-0.116143111318786,-0.0388509693020178
"D19","log(me)",-0.0824102460739855,-0.111621961184508,-0.053198530963463
"D19","log(bm)",0.031365658036868,-0.0108788683393059,0.0736101844130418
"D19","log(turn)",0.103910344561301,0.0682172360075395,0.139603453115062
"D19","log(rvar_capm)",0.507726028534555,0.460161562153178,0.555290494915933
"D19","sue",-0.00736975545384086,-0.0166801194924707,0.00194060858478901
"D19","nasdaq",-0.0645611096208868,-0.103169831097226,-0.0259523881445472
"D20","vol_pos_uni",0.0785498163511441,0.00319156638433832,0.15390806631795
"D20","vol_neg_uni",-0.0774194919141079,-0.115731866427467,-0.0391071174007485
"D20","log(me)",-0.0821380211240243,-0.11147034375464,-0.052805698493409
"D20","log(bm)",0.0309628770382979,-0.010661450827652,0.0725872049042478
"D20","log(turn)",0.101178659645358,0.0653815296363874,0.136975789654329
"D20","log(rvar_capm)",0.508435170451638,0.460165597999194,0.556704742904082
"D20","sue",-0.00735388128726939,-0.0163361566681063,0.00162839409356755
"D20","nasdaq",-0.0611252432955306,-0.100071226127492,-0.0221792604635694
